epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5990287065505981	0.593714714050293	0.06686407327651978	0.6650175452232361	0.001	0.6119260787963867	0.6270807385444641	0.08192378282546997	0.6500214338302612
1	0.6339061260223389	0.655662477016449	0.17663568258285522	0.6363498568534851	0.001	0.6173593997955322	0.6330021023750305	0.11719417572021484	0.6503802537918091
2	0.6712287068367004	0.7158184051513672	0.276802659034729	0.5984176993370056	0.001	0.6188535690307617	0.6330726146697998	0.17522239685058594	0.6618373394012451
3	0.7231202721595764	0.7886730432510376	0.40163516998291016	0.5352135300636292	0.001	0.634881854057312	0.6535940766334534	0.20488619804382324	0.6631232500076294
4	0.7752496004104614	0.8545361161231995	0.5202305316925049	0.45736992359161377	0.001	0.6214343905448914	0.6389352679252625	0.20339614152908325	0.742635190486908
5	0.8161040544509888	0.9001978635787964	0.6108357310295105	0.38636666536331177	0.001	0.6222493648529053	0.6327283978462219	0.1945134401321411	0.8385058641433716
6	0.876383900642395	0.9519314169883728	0.7392675876617432	0.2811277508735657	0.00020000001	0.6350176334381104	0.6460670232772827	0.2284259796142578	0.9153743982315063
7	0.8884398341178894	0.9597922563552856	0.7656463980674744	0.2569449245929718	0.00020000001	0.6316218376159668	0.646719753742218	0.2211185097694397	0.9627557396888733
8	0.8982204794883728	0.9659478068351746	0.7865546941757202	0.23714125156402588	0.00020000001	0.6306710243225098	0.6457206606864929	0.21923714876174927	1.0149850845336914
9	0.9066087007522583	0.970877468585968	0.8043197989463806	0.22038987278938293	0.00020000001	0.6286334991455078	0.6449431777000427	0.219443678855896	1.06557035446167
10	0.9120763540267944	0.9743097424507141	0.8160045742988586	0.2068890780210495	0.00020000001	0.6265960335731506	0.6412912607192993	0.213481605052948	1.1022093296051025
11	0.9179515242576599	0.9772387742996216	0.8284233808517456	0.1952420473098755	0.00020000001	0.6302635073661804	0.641524076461792	0.22107821702957153	1.1420243978500366
