epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5395979285240173	0.5278180837631226	0.040194034576416016	2.589625358581543	0.001	0.5508013963699341	0.5964829325675964	0.12088698148727417	0.747191846370697
1	0.5892141461372375	0.586303174495697	0.11844521760940552	0.7445211410522461	0.001	0.6169519424438477	0.6363540291786194	0.09842538833618164	0.6474288105964661
2	0.6468111276626587	0.6741585731506348	0.22310250997543335	0.627886950969696	0.001	0.6342026591300964	0.6609166860580444	0.18571358919143677	0.6354892253875732
3	0.6804659366607666	0.725487470626831	0.3055430054664612	0.5923888683319092	0.001	0.6384134888648987	0.6476181745529175	0.19866544008255005	0.6544674038887024
4	0.7077701687812805	0.7661290168762207	0.3708187937736511	0.5592594146728516	0.001	0.6227927207946777	0.6384855508804321	0.18250209093093872	0.6583637595176697
5	0.7426136136054993	0.8131769895553589	0.45075422525405884	0.5121447443962097	0.001	0.6218419075012207	0.6547930240631104	0.2251112461090088	0.6761566996574402
6	0.7794267535209656	0.8584861755371094	0.5329608917236328	0.45705297589302063	0.001	0.6320293545722961	0.6607765555381775	0.22940832376480103	0.6984978914260864
7	0.8152890205383301	0.8941383957862854	0.6106785535812378	0.40062499046325684	0.001	0.6120619177818298	0.6254599690437317	0.17154788970947266	0.7486364841461182
8	0.890579342842102	0.9594793319702148	0.77121502161026	0.26163816452026367	0.00020000001	0.6264601945877075	0.6495919227600098	0.22093331813812256	0.9010049104690552
9	0.916627049446106	0.9748482704162598	0.8261016011238098	0.208245187997818	0.00020000001	0.6297202110290527	0.6580250859260559	0.2311580777168274	0.9800341725349426
10	0.9341506361961365	0.9835425019264221	0.8627043962478638	0.17210058867931366	0.00020000001	0.6333876848220825	0.6520293354988098	0.20992475748062134	1.120798110961914
11	0.9441689848899841	0.987553596496582	0.8836289644241333	0.15106536448001862	0.00020000001	0.6267318725585938	0.6553258299827576	0.2327558994293213	1.132888913154602
12	0.954459011554718	0.991287887096405	0.9052249193191528	0.12769021093845367	0.00020000001	0.6335235238075256	0.6553895473480225	0.23182475566864014	1.184652328491211
