epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5924404263496399	0.5678625106811523	0.07053172588348389	0.8888431787490845	0.001	0.6070361137390137	0.6117412447929382	0.04432135820388794	0.6622505784034729
1	0.6889899969100952	0.7382146120071411	0.30605465173721313	0.5801681280136108	0.001	0.6100244522094727	0.5855923891067505	0.11442995071411133	0.7064353823661804
2	0.7822454571723938	0.8593486547470093	0.5273538827896118	0.4538397490978241	0.001	0.6070361137390137	0.5703420639038086	0.10372018814086914	0.8360899090766907
3	0.8513889908790588	0.9266578555107117	0.6813628673553467	0.34146642684936523	0.001	0.6018744707107544	0.5690304636955261	0.11539089679718018	1.0776705741882324
4	0.8875229358673096	0.9530801773071289	0.7607696056365967	0.2809275984764099	0.001	0.5934528708457947	0.5707478523254395	0.11340922117233276	1.3825440406799316
5	0.9001901745796204	0.962805449962616	0.7887746095657349	0.25229567289352417	0.001	0.5933170318603516	0.5764153003692627	0.1292891502380371	1.5387734174728394
6	0.9342525005340576	0.9828340411186218	0.8612408638000488	0.17604444921016693	0.00020000001	0.5975278615951538	0.5774773359298706	0.1303005814552307	1.7697657346725464
7	0.944033145904541	0.9882739186286926	0.8821743726730347	0.14061462879180908	0.00020000001	0.5904645323753357	0.5799257755279541	0.12925320863723755	1.8817873001098633
8	0.9509271383285522	0.9913466572761536	0.8968197107315063	0.12383632361888885	0.00020000001	0.5893778800964355	0.5786665678024292	0.12945020198822021	1.949202537536621
9	0.9561910033226013	0.9928208589553833	0.9080449938774109	0.11272197216749191	0.00020000001	0.5903286933898926	0.5761781334877014	0.12513595819473267	2.0856173038482666
10	0.9618284106254578	0.9943103194236755	0.9200289249420166	0.1000075414776802	0.00020000001	0.5896495580673218	0.5813807249069214	0.12906408309936523	2.174966335296631
11	0.9670922756195068	0.9955871105194092	0.9311199188232422	0.08929860591888428	0.00020000001	0.582042932510376	0.5823330283164978	0.11876678466796875	2.303605556488037
