epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5955986976623535	0.4925142228603363	-0.0003565549850463867	0.6801627278327942	0.001	0.5958978533744812	0.5	0.0	0.674834132194519
1	0.5959383249282837	0.5040997862815857	5.960464477539063e-08	0.6750012040138245	0.001	0.5958978533744812	0.5	0.0	0.6746864914894104
2	0.5959383249282837	0.5054914951324463	5.960464477539063e-08	0.674900472164154	0.001	0.5958978533744812	0.5	0.0	0.6750313639640808
3	0.5959383249282837	0.4956384301185608	5.960464477539063e-08	0.6750404834747314	0.001	0.5958978533744812	0.5	0.0	0.6750494837760925
4	0.5959383249282837	0.4989447295665741	5.960464477539063e-08	0.6750519871711731	0.001	0.5958978533744812	0.5	0.0	0.6748709678649902
5	0.5959383249282837	0.4974380135536194	5.960464477539063e-08	0.6750560998916626	0.001	0.5958978533744812	0.5	0.0	0.6746402978897095
