epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.6033416986465454	0.604650616645813	0.10242247581481934	0.6798458695411682	0.001	0.6212985515594482	0.6304703950881958	0.13936972618103027	0.6473130583763123
1	0.686137318611145	0.7381344437599182	0.3085167407989502	0.5846261978149414	0.001	0.6297202110290527	0.6428218483924866	0.19033843278884888	0.6569281816482544
2	0.7957277894020081	0.8801811337471008	0.5608600378036499	0.4346611797809601	0.001	0.6090736389160156	0.6198879480361938	0.16729724407196045	0.7549424171447754
3	0.8809345960617065	0.9545835256576538	0.7481390833854675	0.2929384708404541	0.001	0.6173593997955322	0.6290875673294067	0.17538273334503174	0.8754122257232666
4	0.9312979578971863	0.9826789498329163	0.8559187054634094	0.1965590864419937	0.001	0.6157293915748596	0.6218280792236328	0.18315184116363525	1.0610980987548828
5	0.9601983428001404	0.9930285811424255	0.916920006275177	0.13278815150260925	0.001	0.611382782459259	0.6259703636169434	0.18197578191757202	1.2338491678237915
6	0.982951819896698	0.9987546801567078	0.9644677042961121	0.07550372928380966	0.00020000001	0.6088019609451294	0.6240143179893494	0.17694944143295288	1.3206478357315063
