loss	auc	accuracy	kappa	val_loss	val_auc	val_accuracy	val_kappa	lr
0.6721266508102417	0.5778294801712036	0.6000475287437439	0.07216185331344604	0.6511591672897339	0.6237145066261292	0.6120619177818298	0.10448765754699707	0.0010000000474974513
0.6443078517913818	0.6418448686599731	0.6285743117332458	0.1601516604423523	0.6560788750648499	0.6171648502349854	0.6169519424438477	0.13776153326034546	0.0010000000474974513
0.6110968589782715	0.7000278234481812	0.6660327315330505	0.26008087396621704	0.6563008427619934	0.6435511708259583	0.6236076951026917	0.1357654333114624	0.0010000000474974513
0.5704206228256226	0.7550755739212036	0.6983970403671265	0.34102320671081543	0.6612923741340637	0.6286921501159668	0.6232002377510071	0.1676415205001831	0.0010000000474974513
0.5103378891944885	0.8131750226020813	0.7413570880889893	0.44223272800445557	0.704021155834198	0.6329700946807861	0.6193969249725342	0.1776961088180542	0.0010000000474974513
0.4466281235218048	0.8628818988800049	0.7830604910850525	0.5381378531455994	0.7600078582763672	0.6241464614868164	0.6174952387809753	0.17330825328826904	0.0010000000474974513
0.3434186577796936	0.9261936545372009	0.8446987867355347	0.6706581115722656	0.8532719016075134	0.6304768323898315	0.6177669167518616	0.18779772520065308	0.00020000000949949026
0.313841313123703	0.9372783303260803	0.8591319918632507	0.7026098966598511	0.90561443567276	0.6280154585838318	0.6146427392959595	0.18526357412338257	0.00020000000949949026
0.29482197761535645	0.9454847574234009	0.8671126961708069	0.7202394604682922	0.9352970123291016	0.6278247237205505	0.6136919260025024	0.185899019241333	0.00020000000949949026
0.2754177451133728	0.9529432058334351	0.877436637878418	0.742405116558075	0.9800958037376404	0.6275421380996704	0.6158652305603027	0.18321436643600464	0.00020000000949949026
0.26198267936706543	0.9577059745788574	0.8867418169975281	0.7619293928146362	1.0191351175308228	0.627149760723114	0.6108394265174866	0.18056243658065796	0.00020000000949949026
