loss	auc	accuracy	kappa	val_loss	val_auc	val_accuracy	val_kappa	lr
0.6656579971313477	0.5701131820678711	0.5975684523582458	0.025378763675689697	0.6554379463195801	0.6090333461761475	0.6047269701957703	0.03840106725692749	0.0010000000474974513
0.6518405675888062	0.6170536875724792	0.6089112162590027	0.08529919385910034	0.6400201916694641	0.659262478351593	0.6155936121940613	0.21365106105804443	0.0010000000474974513
0.6213595867156982	0.6796351075172424	0.6467092037200928	0.2128710150718689	0.6123917698860168	0.7044169902801514	0.665987491607666	0.24428480863571167	0.0010000000474974513
0.589031457901001	0.7262147068977356	0.6790395975112915	0.2937614917755127	0.6003337502479553	0.7160042524337769	0.6745449900627136	0.26766079664230347	0.0010000000474974513
0.5560864210128784	0.7666091322898865	0.7108945250511169	0.37206602096557617	0.6027047038078308	0.7214629054069519	0.6803857684135437	0.2760932445526123	0.0010000000474974513
0.513721764087677	0.8094911575317383	0.7428852915763855	0.44787919521331787	0.5952214598655701	0.7340222597122192	0.6901656985282898	0.3421832323074341	0.0010000000474974513
0.46268197894096375	0.8513245582580566	0.7758609056472778	0.5233389139175415	0.6268659830093384	0.7259432673454285	0.6869057416915894	0.3333445191383362	0.0010000000474974513
0.3986375033855438	0.8932796716690063	0.8144400119781494	0.6081193089485168	0.6867197751998901	0.7305108308792114	0.6869057416915894	0.33870023488998413	0.0010000000474974513
0.3345785439014435	0.9267777800559998	0.8498947024345398	0.6849379539489746	0.7933882474899292	0.7274383902549744	0.6897582411766052	0.33835387229919434	0.0010000000474974513
0.2718586325645447	0.952588677406311	0.8799497485160828	0.7490000128746033	0.8703213334083557	0.711541473865509	0.6792991161346436	0.3204652667045593	0.0010000000474974513
0.22023257613182068	0.969484806060791	0.9052503108978271	0.8021488785743713	1.0397828817367554	0.7255239486694336	0.6822873950004578	0.3399863839149475	0.0010000000474974513
