epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5297154188156128	0.5317263603210449	0.057428598403930664	2.351114273071289	0.001	0.5129041075706482	0.5481377840042114	0.06553864479064941	0.7376108169555664
1	0.5943421721458435	0.6328040361404419	0.1844327449798584	0.6763136982917786	0.001	0.5952187180519104	0.6400265097618103	0.18933922052383423	0.6614376306533813
2	0.6392719149589539	0.6939087510108948	0.2693742513656616	0.6326597332954407	0.001	0.5714479684829712	0.6609064936637878	0.18795698881149292	0.6910783648490906
3	0.6820960640907288	0.7496298551559448	0.3525993824005127	0.5904241800308228	0.001	0.5835371017456055	0.6403184533119202	0.18582481145858765	0.690754771232605
4	0.7162602543830872	0.7962110042572021	0.42165184020996094	0.5452155470848083	0.001	0.6211627125740051	0.6202104687690735	0.18686610460281372	0.6910943388938904
5	0.7541261911392212	0.8368176817893982	0.49774670600891113	0.4969681203365326	0.001	0.6088019609451294	0.6503811478614807	0.20794689655303955	0.7220301032066345
6	0.7884941697120667	0.875128448009491	0.5674445629119873	0.442064106464386	0.001	0.6090736389160156	0.632331907749176	0.18837577104568481	0.7330998182296753
7	0.8734293580055237	0.948802649974823	0.7393655776977539	0.3007027208805084	0.00020000001	0.6187177300453186	0.655182421207428	0.22716712951660156	0.8749551177024841
8	0.8945187926292419	0.9636861681938171	0.782953143119812	0.2536322772502899	0.00020000001	0.6268677115440369	0.655155599117279	0.230934739112854	0.9226056337356567
9	0.9126536846160889	0.9738611578941345	0.8199309706687927	0.2185390442609787	0.00020000001	0.6260526776313782	0.6593908071517944	0.23516875505447388	0.9840315580368042
10	0.9261699318885803	0.9808055758476257	0.8475989103317261	0.18997982144355774	0.00020000001	0.6301276683807373	0.658020555973053	0.23765385150909424	1.0451743602752686
11	0.9404672980308533	0.9859573245048523	0.8770803213119507	0.16449695825576782	0.00020000001	0.6354251503944397	0.6609729528427124	0.24136227369308472	1.1170122623443604
