epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.6062283515930176	0.5935849547386169	0.07842028141021729	0.6713720560073853	0.001	0.614371120929718	0.6327913403511047	0.11339044570922852	0.6475405693054199
1	0.6694627404212952	0.7146208882331848	0.2649955153465271	0.6011533737182617	0.001	0.6155936121940613	0.6286455988883972	0.14364314079284668	0.6632161736488342
2	0.801908552646637	0.8819583058357239	0.5762251615524292	0.41914862394332886	0.001	0.617087721824646	0.6191226243972778	0.17563027143478394	0.806126594543457
3	0.9111933708190918	0.9724947214126587	0.8134496212005615	0.21590746939182281	0.001	0.604455292224884	0.6043491959571838	0.16689109802246094	1.1941102743148804
4	0.967397928237915	0.9947612881660461	0.9320553541183472	0.0983642041683197	0.001	0.590872049331665	0.5978600978851318	0.1461527943611145	1.6629327535629272
5	0.9866195917129517	0.9981935620307922	0.9721665382385254	0.05155898630619049	0.001	0.6056777834892273	0.6061689257621765	0.17133039236068726	2.038041353225708
6	0.996196448802948	0.9996433854103088	0.9920969605445862	0.02045741304755211	0.00020000001	0.6092094779014587	0.6119098663330078	0.16984397172927856	2.313227415084839
7	0.9978944659233093	0.9999608993530273	0.9956260323524475	0.011807960458099842	0.00020000001	0.6092094779014587	0.6119827032089233	0.174685537815094	2.5178394317626953
