epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5918630957603455	0.5660741329193115	0.06706619262695312	0.8769981861114502	0.001	0.6147785782814026	0.6126872897148132	0.11427444219589233	0.6565667390823364
1	0.7046458125114441	0.7623069286346436	0.34368735551834106	0.5608000159263611	0.001	0.6033686399459839	0.5754662752151489	0.1145591139793396	0.7136275768280029
2	0.8141683340072632	0.8941487669944763	0.5984499454498291	0.3994717001914978	0.001	0.6123335957527161	0.5870808362960815	0.1464860439300537	0.906399667263031
3	0.8920736312866211	0.959113359451294	0.7700215578079224	0.26231348514556885	0.001	0.6029611229896545	0.5857605338096619	0.14058983325958252	1.3210012912750244
4	0.9246417284011841	0.9778957962989807	0.8406746983528137	0.199236199259758	0.001	0.5847595930099487	0.5822287201881409	0.13738280534744263	1.6685645580291748
5	0.93999183177948	0.984791100025177	0.8736438155174255	0.1643340140581131	0.001	0.5690029859542847	0.5764671564102173	0.11414289474487305	2.0453405380249023
6	0.9628812074661255	0.9943839311599731	0.9221463203430176	0.1029496043920517	0.00020000001	0.5844879150390625	0.5745018720626831	0.12179934978485107	2.3817203044891357
7	0.9725939035415649	0.9972524642944336	0.9426574110984802	0.07156461477279663	0.00020000001	0.5888345837593079	0.579646646976471	0.13241928815841675	2.6227638721466064
