loss	auc	accuracy	kappa	val_loss	val_auc	val_accuracy	val_kappa	lr
0.7000938057899475	0.5991626381874084	0.6039530038833618	0.1000903844833374	0.6493064761161804	0.6334148049354553	0.6219777464866638	0.1277443766593933	0.0010000000474974513
0.5791876316070557	0.7449994087219238	0.6904842853546143	0.31924694776535034	0.6533792018890381	0.6400510668754578	0.6324368119239807	0.19582051038742065	0.0010000000474974513
0.42756909132003784	0.8841404318809509	0.7997351288795471	0.5706537961959839	0.7420436143875122	0.6341732740402222	0.6286334991455078	0.18218547105789185	0.0010000000474974513
0.2934040427207947	0.9527375102043152	0.8788290619850159	0.7438052296638489	0.8709970116615295	0.6300767064094543	0.6219777464866638	0.19438159465789795	0.0010000000474974513
0.19784916937351227	0.9813793301582336	0.928275465965271	0.8495903015136719	1.0356470346450806	0.621530294418335	0.6067644953727722	0.18291866779327393	0.0010000000474974513
0.13492289185523987	0.9924520254135132	0.9580588340759277	0.9124338626861572	1.2582664489746094	0.6196905970573425	0.6105678081512451	0.178999662399292	0.0010000000474974513
0.07719314098358154	0.9986221790313721	0.9817971587181091	0.962088942527771	1.3444137573242188	0.6214156150817871	0.6169519424438477	0.1932118535041809	0.00020000000949949026
0.06355614215135574	0.9991481900215149	0.9862459897994995	0.9713797569274902	1.4083032608032227	0.6208505034446716	0.6146427392959595	0.18355470895767212	0.00020000000949949026
0.05414673313498497	0.9994825720787048	0.9891666173934937	0.9774632453918457	1.4804508686065674	0.6184700131416321	0.6131486296653748	0.18430602550506592	0.00020000000949949026
0.045519135892391205	0.9996689558029175	0.992155134677887	0.9836891293525696	1.5597996711730957	0.618415355682373	0.6130127906799316	0.18298745155334473	0.00020000000949949026
0.03822005167603493	0.9998188614845276	0.9944644570350647	0.9884965419769287	1.6371498107910156	0.6148847937583923	0.6085302829742432	0.17338764667510986	0.00020000000949949026
